id,value
id_0,23
id_1,50
id_2,17
id_3,44
id_4,10
id_5,24
id_6,40
id_7,15
id_8,57
id_9,16
id_10,27
id_11,34
id_12,48
id_13,30
id_14,54
id_15,18
id_16,37
id_17,36
id_18,15
id_19,17
id_20,7
id_21,21
id_22,37
id_23,46
id_24,42
id_25,18
id_26,15
id_27,12
id_28,18
id_29,16
id_30,16
id_31,11
id_32,16
id_33,38
id_34,27
id_35,25
id_36,25
id_37,21
id_38,1
id_39,21
id_40,18
id_41,33
id_42,36
id_43,24
id_44,15
id_45,42
id_46,49
id_47,38
id_48,25
id_49,16
id_50,38
id_51,27
id_52,20
id_53,25
id_54,24
id_55,26
id_56,29
id_57,27
id_58,22
id_59,39
id_60,9
id_61,29
id_62,26
id_63,37
id_64,39
id_65,27
id_66,38
id_67,33
id_68,28
id_69,45
id_70,47
id_71,48
id_72,44
id_73,5
id_74,20
id_75,51
id_76,49
id_77,8
id_78,52
id_79,40
id_80,13
id_81,16
id_82,5
id_83,20
id_84,20
id_85,6
id_86,7
id_87,12
id_88,19
id_89,18
id_90,9
id_91,8
id_92,21
id_93,9
id_94,15
id_95,18
id_96,12
id_97,5
id_98,6
id_99,11
id_100,10
id_101,14
id_102,8
id_103,7
id_104,16
id_105,12
id_106,18
id_107,15
id_108,14
id_109,8
id_110,14
id_111,17
id_112,11
id_113,12
id_114,25
id_115,11
id_116,18
id_117,18
id_118,40
id_119,7
id_120,6
id_121,17
id_122,8
id_123,12
id_124,7
id_125,23
id_126,24
id_127,5
id_128,19
id_129,7
id_130,6
id_131,18
id_132,21
id_133,48
id_134,24
id_135,21
id_136,14
id_137,21
id_138,38
id_139,38
id_140,15
id_141,12
id_142,17
id_143,11
id_144,27
id_145,9
id_146,24
id_147,10
id_148,11
id_149,12
id_150,15
id_151,21
id_152,15
id_153,11
id_154,14
id_155,18
id_156,10
id_157,20
id_158,10
id_159,8
id_160,42
id_161,21
id_162,46
id_163,16
id_164,27
id_165,22
id_166,23
id_167,2
id_168,55
id_169,13
id_170,14
id_171,51
id_172,4
id_173,9
id_174,43
id_175,6
id_176,12
id_177,45
id_178,24
id_179,15
id_180,31
id_181,13
id_182,35
id_183,12
id_184,10
id_185,30
id_186,33
id_187,13
id_188,12
id_189,13
id_190,13
id_191,7
id_192,23
id_193,72
id_194,20
id_195,16
id_196,46
id_197,10
id_198,10
id_199,32
id_200,39
id_201,33
id_202,35
id_203,20
id_204,50
id_205,13
id_206,15
id_207,31
id_208,20
id_209,51
id_210,38
id_211,62
id_212,15
id_213,136
id_214,13
id_215,62
id_216,42
id_217,52
id_218,19
id_219,49
id_220,29
id_221,55
id_222,23
id_223,17
id_224,49
id_225,12
id_226,21
id_227,32
id_228,23
id_229,4
id_230,20
id_231,13
id_232,15
id_233,22
id_234,9
id_235,9
id_236,5
id_237,9
id_238,24
id_239,6
